,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Data
334,omboue,-1.57,9.26,74.75,90.0,100.0,5.57,GA,1619163304
335,poshekhonye,58.5,39.14,54.75,64.0,15.0,12.5,RU,1619163305
336,kieta,-6.22,155.63,76.91,93.0,100.0,5.97,PG,1619163305
337,xining,36.62,101.77,64.71,42.0,80.0,18.25,CN,1619163306
338,champerico,14.3,-91.92,66.0,98.0,80.0,1.19,GT,1619163307
339,putina,-15.47,-69.43,40.6,80.0,58.0,1.41,PE,1619163307
340,rundu,-17.93,19.77,74.28,31.0,0.0,9.13,NA,1619163308
341,celestun,20.87,-90.4,76.57,69.0,100.0,14.61,MX,1619163308
342,matara,5.95,80.54,87.04,64.0,25.0,12.33,LK,1619163309
343,conde,-7.26,-34.91,73.4,100.0,20.0,1.14,BR,1619163310
344,cabatuan,10.88,122.49,88.86,51.0,100.0,8.66,PH,1619163311
